ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
458989,Female,Yes,36,Yes,Engineer,0.0,Low,1.0,Cat_6,A
458994,Male,Yes,37,Yes,Healthcare,8.0,Average,4.0,Cat_6,C
458996,Female,Yes,69,No,,0.0,Low,1.0,Cat_6,A
459000,Male,Yes,59,No,Executive,11.0,High,2.0,Cat_6,A
459001,Female,No,19,No,Marketing,,Low,4.0,Cat_6,D
459003,Male,Yes,47,Yes,Doctor,0.0,High,5.0,Cat_4,B
459005,Male,Yes,61,Yes,Doctor,5.0,Low,3.0,Cat_6,A
459008,Female,Yes,47,Yes,Artist,1.0,Average,3.0,Cat_6,C
459013,Male,Yes,50,Yes,Artist,2.0,Average,4.0,Cat_6,C
459014,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
459015,Male,No,22,No,Healthcare,0.0,Low,3.0,Cat_6,D
459016,Female,No,22,No,Healthcare,0.0,Low,6.0,Cat_6,D
459024,Male,Yes,50,Yes,Artist,1.0,Average,5.0,Cat_6,C
459026,Male,No,27,No,Healthcare,8.0,Low,3.0,Cat_3,D
459032,Male,No,18,No,Doctor,0.0,Low,3.0,Cat_6,D
459033,Female,Yes,61,Yes,Artist,0.0,Low,1.0,Cat_6,C
459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,D
459039,Male,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,C
459041,Male,Yes,55,Yes,Artist,8.0,Low,1.0,Cat_6,B
459045,Female,Yes,88,Yes,Lawyer,1.0,Average,4.0,Cat_6,B
459056,Male,Yes,63,No,Executive,,High,3.0,Cat_6,B
459057,Male,Yes,69,No,Lawyer,,High,,Cat_6,A
459058,Male,No,42,Yes,Artist,0.0,Low,4.0,Cat_3,A
459059,Male,Yes,79,No,Executive,,High,2.0,Cat_6,A
459061,Female,Yes,35,Yes,Healthcare,9.0,High,3.0,Cat_6,A
459064,Male,Yes,27,No,Executive,5.0,High,4.0,Cat_6,D
459065,Male,Yes,52,Yes,Engineer,,Low,2.0,Cat_6,A
459074,Female,No,29,Yes,Healthcare,0.0,Low,4.0,Cat_4,D
